ID;Toll_Plaza;Toll_Tariff_Actual;Toll_Tariff_Duplicated;TCP;Convert_to_ORT;Total_Traffic_Segments;Collection_Points;Average_collection_distance
1;P7N;10,5178;10,5178;106.38;Yes;13;13;8,1831
2;P6N;12,2708;12,2708;124.11;Yes;15;15;8,274
3;P4eP5N;5,8729;5,8729;59.4;Yes;5;5;11,88
4;P3N;3,2429;3,2429;32.8;Yes;2;2;16,4
5;P1eP2N;3,2429;3,2429;32.8;Yes;5;5;6,56
6;P7S;10,5178;10,5178;106.38;Yes;13;13;8,1831
7;P6S;12,2708;12,2708;124.11;Yes;15;15;8,274
8;P4eP5S;5,8729;5,8729;59.4;Yes;5;5;11,88
9;P3S;3,2429;3,2429;32.8;Yes;2;2;16,4
10;P1eP2S;3,2429;3,2429;32.8;Yes;5;5;6,56
11;P10N;3,5976;3,9984;83.04;Yes;3;3;27,68
12;P9N;3,466;3,8218;93.6;Yes;3;3;31,2
13;P8N;3,4682;3,4682;93.66;Yes;3;3;31,22
14;P10S;3,5976;3,9984;83.04;Yes;3;3;27,68
15;P9S;3,466;3,8218;93.6;Yes;3;3;31,2
16;P8S;3,4682;3,4682;93.66;Yes;3;3;31,22
